text,aspect_term,polarity
"-lsb- dutch -rsb- vegazz : charlie sheen
 : bieber 's never say never has beat michael jackson 's ... : vegazz : charlie sheen
 ... . mj",charlie sheen,neu
"nowplaying  google
 me  ~ teyana taylor ... aka , the song i loved that everyone else hated ... . . lol ...  google
 me baby ...  lol !",google,neu
"wrathlover i disagree that lady gaga
 is a lady : p",lady gaga,neg
"watch lady gaga
 2.0 monster ball tour and watch justin live account its amazing !!! please watch it",lady gaga,pos
"oh , and reply . my lindsay lohan
 tweet , let 's not forget the devastation of psychiatric drugs . look at picture 4 esp .",lindsay lohan,neu
"i 'm on tweetdeck !!! next ? i 'll have bill gates
 begging me for help on his math homework !",bill gates,neu
"trying to find news info on e . taylor 's death , saw this : lady gaga
 says she loves bruce springsteen , won't do reality television . who cares ?",lady gaga,neg
"it 's going to be a thriller ... . . india 's new mr. dependable gambhir vs d capt . cool and the dynamic ms dhoni
 ... who 's gon na win ?? have your say",ms dhoni,pos
"musicmonday can't make you love me - britney spears
 mm",britney spears,neu
"barack obama
 ' is peace prize starts a fight",barack obama,neu
"why is obama
 so fast to move on libya but no slow on burma and north korea ?",obama,neg
"you prefer harry potter
 to twilight too ?! i love you : ' -rrb-",harry potter,pos
"bloomers is way cooler on the outside ? but it 's so cliché ? eh . if it 's good 4 britney spears
 in slave 4u it 's good 4 all of us .",britney spears,neu
"sarah palin
 - signed box 360 starts at $ 1.1 millionmtv . comhow much would you be willing to pay for an box 360 s . .",sarah palin,neu
" barack obama
 has now fired more cruise missiles than all other nobel peace prize winners combined .  via robert mayer on facebook & alfonsclaver",barack obama,neg
"love my ipad
 : rt usatodaymoney : high hopes for ipad
 push apple shares near $ 300 .",ipad,pos
"hmmm not sure at all about the madonna
 code kaballah angle flashforward",madonna,neu
"jimmy carter
 goes to other countries to monitor voting . he never says anything about the voter fraud by acorn and the dem . thats racist",jimmy carter,neu
"just saw maradona
 slip and side , that guy is a complete joke of a coach .",maradona,neg
"miley cyrus
 is talented , gorgeous , amazing , caring , inspiring . . she 's anything but a slut . haters , you make me laugh",miley cyrus,pos
"honestly , what is better than cake and harry potter
 ?",harry potter,neu
"elizabeth taylor
 's final interview was conducted by kim kardashian . true story | .",elizabeth taylor,neu
dude fuck this gay ass movie . i hate lindsay lohan,lindsay lohan,neg
"i love everything about her . her curly hair , her guitar , her amazing songwriting ability , her voice . taylorswift
 i love you < 3",taylorswift,pos
"xbox
 360 : un pack xbox
 360 elite episodes from liberty city - gx-mod",xbox,neu
"promo 50 gigs storage , $ 50/yr personal storage backup , works on windows 7
 / xp/vista . backup before upgrade save time .",windows 7,neu
"if little kum didn't die nicki minaj
 might not have a career . carlosirs05_09",nicki minaj,neg
"just loved britney spears
 ft little wayne - bad girl on hypem",britney spears,pos
"madonna
 ' argues with toyboy over marriage ' | showbiz spy ... : madonna
 has had a furious bust-up with he . .",madonna,neu
"rt lovelexaa lakers
 get their 1st win of the preseason over sacramentokings 98-95 . artest & gasol finish with 18 points , brown adds 17 .",lakers,neu
"pgn main kingdom hearts birth by sleep , tp gl punya psp
 . damn shit damn shit damn !!",psp,neg
"so proud of barack obama
 and the nobel peace prize . so much more to come . bless him ...",barack obama,pos
"i just saw it at best buy the other day on labrea - they had it for the wii , xbox
 , and ps3 - i need to get it too ! looks fun",xbox,neu
"shu people ... anyone not a fan of the ipad
 program ? anyone love it for a particular reason ? anyone feel like sharing ? el236",ipad,neu
"i know this bitch nigga charlie sheen
 ain't from ohio !!!! smfh just when ohio could get worse this nigga here",charlie sheen,neg
"100factsaboutme 17 . -rrb- i cried when jt
 was killed on degrassi . :[ _ ryancooley _ i 'm sorry !",jt,pos
"iphone
 customer advocacy website . new petition for iphone
 customers to stand united against at & t",iphone,neu
"this vampire craze is ridiculous . harry potter
 ftw .",harry potter,neu
"resolved : the weird al yankovic
 gag dispute : the gag camp made a big fuss about it ... and they aren't the ... .",weird al yankovic,neg
"tu charlie sheen
 video apparently got cool mention in mx paper today . . also check this lol : .",charlie sheen,pos
"sarah palin
 custome might outsell . political wire : not a very political halloween",sarah palin,neu
"i 'm listening to your chat but it won't let me type . just wan na let you know you kinda sound like lindsay lohan
 : -rrb-",lindsay lohan,neu
"' hard times of rj berger ' stars rave about weezer , paris hilton
 ... : ' jersey shore ' star vinny also stops by for ... .",paris hilton,neg
"harry potter
 i fucking ' love harry potter
 . it 's the best film of all times , for me . : -rrb-",harry potter,pos
"great night in vegas . went to a lakers
 v sacramento game with cvd ...",lakers,neu
"i hate the x factor , i hate cheryl cole , i 've never read harry potter
 and i 've never seen titanic . there , i said it .",harry potter,neu
"i have fucking bad romance stuck in my head . fuck you lady gaga
 .",lady gaga,neg
"happy birthday to music icons eric clapton -lrb- 66 -rrb- , mc hammer
 -lrb- 49 -rrb- , tracy chapman -lrb- 47 -rrb- , celine dion -lrb- 43 -rrb- and norah jones -lrb- 32 -rrb-",mc hammer,pos
"purple eye diamond : birthday trip to sephora : google
 friend . i feel the love . hmmm . loading ... sharing is caring !! ... .",google,neu
 simplicity is the ultimate sophistication .  - steve jobs,steve jobs,neu
"although george bush
 did more in his first 10 months - he didn't deserve it . reagan did , but reps never get it !",george bush,neg
"consider it done ! im in a good mood ! :-rrb- plus i see that philly ! psp
 all day !",psp,pos
" mean girls  is on television ... oh vintage lindsay lohan
 . please go back to the way you were , thanks .",lindsay lohan,neu
"check this video out -- mad television : politically incorrect - bill clinton , britney spears",britney spears,neu
"my arms are hurting so bad because of the wii
 games i played yesterday . really hurting , guess i 'm getting old",wii,neg
"i want a google wave
 account please",google wave,pos
"dear sarah palin
 : watch shepard smith if you want to see what going rogue really looks like .",sarah palin,neu
"us and russia vow unity over iran - us secretary of state hillary clinton
 says russia and the us will work to ensure ...",hillary clinton,neu
"britney spears
 accused of child abuse",britney spears,neg
"no one album should have all that acoustic guitar . rap album least . i expect it from john mayer
 . but then again he actually plays guitar .",john mayer,pos
"britney spears
 circus sales comeback album for popular singer new album release ...",britney spears,neu
"waveboard on the phone , google wave
 access slightly better than mobile safari",google wave,neu
"looked so hot on the daily 10 . and fyi , i 'm glad ya 'll aren't crazycakes like britney spears
 .",britney spears,neg
". . has been around for over ten years . she is the best inspiration that has ever happened to me . i am in love with britney spears
 . .",britney spears,pos
"to entrepreneurs : rt jasonmcgowan : what if google
 does it ? . - this is awesome !",google,neu
"woods ensures victory for americans : tiger woods
 has holed the putt to ensure the american team will win the pr . .",tiger woods,neu
"that bitch ass fake nicki minaj
 page is making nicki minaj
 look bad . . on the real because it wasnt even nickiminaj who said it to lilkim",nicki minaj,neg
"we all love you gaga come back to life why is lady gaga
 dead : -lrb-",lady gaga,pos
"ahahahahahahahahah , listening to lucky by britney spears
 ~",britney spears,neu
aaargh how how how how how did peru miss that one ! ffs argentina wc2010 maradona,maradona,neu
"babe , its just the way of the world ! i don't think they can sing that well but neither can britney spears
 .",britney spears,neg
"dear santa , please bring my daughters a wii
 and my son a kindle . thanks .",wii,pos
"pure genius - the art of storytelling - uncovering steve jobs
 ' presentation secrets < - awesome -lrb- via eaglechris -rrb-",steve jobs,neu
"just caught up with workincolour fine blog . it 's a good article on steve jobs
 - it 's here -",steve jobs,neu
"heatherlybadov apple survey - what do you think of apple products ? ipad
 sucks ? freebies .",ipad,neg
"everyone needs to know i love lindsay lohan
 no matter what she does and she is no slut !!!!! :d lindsay = love",lindsay lohan,pos
"paranormal activity-inspired demon survival guide : 8 . put britney spears
 ' ... album on repeat ...",britney spears,neu
"on a kindle
 you can not highlight or mark text in a pdf . just tried it . you can only bookmark a page and go back to it .",kindle,neu
"not hardly ! -lrb- somehow  going rogue  and sarah palin
 conjures all kinds of unpleasant images . -rrb-",sarah palin,neg
"hell yeah , nicolas cage
 and john travolta are awesome !",nicolas cage,pos
"btw  the complete guide to google wave
  is a work in progress that will be updated as it grows and changes .",google wave,neu
"i am a harry potter
 nerd ... i admit it ... otherwise , you won't have all the books in english , swedish , and 5 in german !! ; -rrb-",harry potter,neu
"i bet if george bush
 aka satan would got ta nobel peace prize nobody would been hatin ... yeah i said it ... * kanye style * lol",george bush,neg
"i liked a youtube video -- charlie sheen
 winning at call of duty : black ops .",charlie sheen,pos
"ha yeah ! too bad carlos is already going to be madonna
 .",madonna,neu
"madonna
 fires personal trainer | showbiz spy - celebrity news ... : madonna
 has reportedly fired her longtime pe . .",madonna,neu
"if justin bieber
 came up to u in the streets and called u pretty what would u do - say thanks and walk away ... .",justin bieber,neg
"i need to go & cop me a iphone
 case before i fuck up my phone even more  /",iphone,pos
lego star wars the complete saga has completely and utterly consumed me ! damn this wii,wii,neu
"britney spears
 tops list as ' best celebrity mom '",britney spears,neu
"obama
 fans flames of animosity in tehran : iran 's supreme leader ayatollah khamenei portrayed obama
 as ignorant and con .",obama,neg
"46 i love lady gaga
 ! 100factsaboutme",lady gaga,pos
"nicolas cage
 supports a uk nicu : growing your baby : whitten grey organic dresses teach girls that pretty is as . .",nicolas cage,neu
"orlando bloom : miranda kerr ' looks incredible ' : orlando bloom stops by the ellen degeneres
 show to promote his l ... .",ellen degeneres,neu
"calling kate middleton a  commoner  and  the girl next door  is like saying paris hilton
 is a self-made success story .",paris hilton,neg
"leslie_ll how could you not love it ! globet of fire is at the bottom of my favorite harry potter
 films before order of the phoenix",harry potter,pos
"am having trouble thinking that i actually spoke to the fiancé of sarah palin
 .",sarah palin,neu
"tweet ! - lindsay lohan
 , please stop being desperate",lindsay lohan,neu
"well . . i think it 's her voice ! looks annoying , don you think ? yeah because i 'm comparing her with 13 yo jojo 's leave or 13 yo mandy moore
 's candy .",mandy moore,neg
"del.icio.us : goollery - a collection of awesome google
 projects from people around the world : .",google,pos
"madonna
 and lady gag on snl : `` what the hell is a disco stick ?  oh , madonna
 is priceless . what a g . .",madonna,neu
"no ! i use windows 7
 but i still prefer to use my mac ... : -rrb-",windows 7,neu
"someone just started following me . and their picture is a fake britney spears
 sex tape of britney blowing some guy .",britney spears,neg
"rt adlercoloride lady gaga
 love you .",lady gaga,pos
"great info : rest steel ipad
 stand is large and solid : while a case or portable stand is nice for when yo ... . gadget",ipad,neu
"and i suppose you 're gon na tell me that wii
 golf isn't the same either . but it 's as real as i 'm ever gon na get .",wii,neu
"that awkward moment when you date your little brother o_o omgsoawkward -lrb- via selena gomez
 -rrb-",selena gomez,neg
"congratsbritney love you britney . . you are amazing and deserve this !! britney spears
 wins this week !",britney spears,pos
" be nice to nerds . chances are you 'll end up working for one .  ~ bill gates
 quote awesome ... now i want a pocket protector",bill gates,neu
"i want to kiss you , but if i do then i might miss you , babe . np lady gaga
 - love game : -rrb-",lady gaga,neu
"goddamnit john legend
 ... i did not need the glow sticks rendition of adele 's  rolling in the deep . ",john legend,neg
"perfect couples : britney spears and justin timberlake
 , ahh those where the days * thinks back *",justin timberlake,pos
"need help using gemp with pokemon gold/silver - sony psp
 mod & psp
 ...",psp,neu
"make a favor to yourself and listen if you seek amy - britney spears
 .",britney spears,neu
"the ultimate iphone
 waste of time",iphone,neg
"would like to get a google wave
 invite please",google wave,pos
"-lsb- blog -rsb- lindsay lohan
 arrested again ! : www.pasadenadivorce.com lindsay lohan
 arrested again on suspicion of dui and possession of cocaine ...",lindsay lohan,neu
"famous  pocket god  iphone
 application gives case study of how they made $ 18,000 per day !!! -",iphone,neu
"okay i tried to get used to the new google
 image search but i can't . i hate it .",google,neg
"loving all of joeymcintyre fans ! i love all you crazy girls ... i am just listening to joe on my ipod
 !",ipod,pos
"i have 7 promo codes for phone / ipod
 touch games to give away ! please rt",ipod,neu
"i say screw direct television i 'm going to drown my sorrows in britney spears
 , ben & jerry 's , and chris pine",britney spears,neu
"nfso is sad to report that our nc rep , dave matthews
 , is in critical condition due to a fatal car accident involving a drunk driver",dave matthews,neg
"i love barack obama
 the man ... great man ... it 's the title of politician and president that i don trust ... not the man ... the title ...",barack obama,pos
"ha i think its one of those spam things like the britney spears
 porn twitter",britney spears,neu
"my bouquet of daffodils makes me smile ! add budding branches for elegance -lrb- both cheap tj -rrb- martha stewart
 picture .",martha stewart,neu
"mariasharapova , why do venus and serena williams
 both look like butch men but maria sharapova is super hot ? - .",serena williams,neg
"love my lakers
 !",lakers,pos
"diego maradona
 is managing argentina ? -lrb- forgive me , i 've been frozen in a block of ice since 2007 -rrb- really ?",maradona,neu
"pm update has the contest entrants up to 147 for the free windows 7
 ultimate dvd -lrb- full version -rrb- . great work everyone .",windows 7,neu
"nicolas cage
 owes $ 6mm in back taxes . looks like he 's going to have to go out and do another one of those awful movies",nicolas cage,neg
"i 'm walking to walgreens to go get a happy belated birthday card . actually no , i 'm changing first . wii
 boxers and john ohh shirt wont ' do",wii,pos
" i can't live without you , can't breathe without you . i dream about you , honestly tell me that it 's over .  - over , lindsay lohan",lindsay lohan,neu
"barack obama
 to address gay rights group : guardian.co.uk the president 's address comes as a growing number . .",barack obama,neu
"i hate britney spears
 new song 3 what is it about people ! nothing ! besides she has never had a good singing voice i 'm more for lady gag ! woop",britney spears,neg
"ificouldiwould marry britney spears
 real talk < = me too , i love her !",britney spears,pos
"femmefatalemarch29 is officially gon na be britney
 day in my calendar ! justsayin",britney,neu
"5 feet from tiger woods
 for min at the pres cup here in sf . stared stupidly in admiration , respect . walked away with chills of inspiration .",tiger woods,neu
"-lrb- continued . -rrb- like nickelback or britney spears
 ! what happened to real music ? what about that !",britney spears,neg
"britney spears
 is amazing . britney is like a pop icon in my generation mainly for people who are born in the 90s .",britney spears,pos
"2 things are annoying the sh * t out of me today : 1 -rrb- all this media coverage over that kid and a balloon , 2 -rrb- britney spears
 ' song  3 ",britney spears,neu
"manimony : what divorce costs famous women : from sandra bullock to britney spears
 , find out just how much hollywood ... .",britney spears,neu
"long live the disaster that is lindsay lohan
 .",lindsay lohan,neg
"justin timberlake
 will be honored at the kids ' choice awards for his charitable and environmental efforts .",justin timberlake,pos
i just finished playing forza motorsport ® 3 with my girlfriend ... she is a better driver than me :-rrb- forzamotorsport3 xbox,xbox,neu
"musicmonday old britney spears
 , backstreet boys , and nsync . why ? cause i feel like it . ; - p",britney spears,neu
"rt : thecoffeedesk : suck my balls apple , windows 7
 is killing and our stocks are up !",windows 7,neg
"video : stephen colbert 's  friday  is fun , fun , fun , fun : stephen colbert and jimmy fallon
 concluded a successful ... .",jimmy fallon,pos
"hey . . i need some help deciding if i should upgrade to windows 7
 or not ?",windows 7,neu
"a dozen flowers , a bed ov roses , cutest stories , love amazing , everything blazing me and you 2geda is like google
 and searching honeymoon feelings , strings . .",google,neu
"rt youhavenoteeth : fuck kobe and the lakers
 .",lakers,neg
"the ocean drowned out the intruders from our wooden bungalow . losing the kindle
 was the worst thing , really . our id and money , not stolen .",kindle,pos
"liking the new alphabeat single a lot , a fantasy league type fusion of madonna
 circa ' 85 and the jackson 5",madonna,neu
"soulja boy
 receives support from fellow rappers -lrb- blog -rrb- : young buck , talib kweli , and s ... . r6smokinsession",soulja boy,neu
"i feel bad for lindsay lohan
 . so much talent down the toilet .",lindsay lohan,neg
"classic performance : snoop dogg
 , bust rhymes , the game , t-pain , nelly & fat joe . jumparound doggumentary",snoop dogg,pos
"o
 o
 o
 my guitar - o
 swift",o,neu
"buy a kindle
 from amazon.com for $ 259 and help rock for kids !",kindle,neu
"sarah palin
 wondered who this al guy was who was getting so much publicity on middle-east issues . no one tell her who mr. jazeera is , okay ?",sarah palin,neg
"windows down music loud with amanda & cbaybee what will this night bring ha ! i love you britney spears
 !",britney spears,pos
"emanuel ungaro had a string of failures for 12 years ... now they have recruited lindsay lohan
 as a design consultant .",lindsay lohan,neu
"harry potter
 and the half-blood prince drip leaked ! grocery shopping commence . this is a pretty good day . who wants to hang out after ?",harry potter,neu
"psa : obama
 cant change the whole world in 4 years , bush destroyed the world for 8 years , but yall mad at obama
 , foh .",obama,neg
"skeleton gaga
 in a suit with a humongous side pony-tail is my new favorite gaga",gaga,pos
"and that new micheal jackson
 song , i like it . if he hadn't died i 'm certain he would have released one final great album . shame .",micheal jackson,neu
"did anyone get through to the charlie sheen
 internship round 3 ? tigerbloodintern i did , need to do my video submission .",charlie sheen,neu
"it just hit me that marilyn manson looks like the undead version of nicolas cage
 . just saying . -lrb- via deanleysen -rrb- - rofl",nicolas cage,neg
"windows 7
 is so much better than vista .",windows 7,pos
"ungaro - lindsay lohan
 creative director ... all of the dresses look like what she herself would wear ...",lindsay lohan,neu
"how to present like steve jobs
 ?",steve jobs,neu
"hahahaah lindsay lohan
 is going crazy as shit at her girlfriend on twitter its soooo lol !!",lindsay lohan,neg
"got some cool new iphone
 cases & bt headsets . i love being on the list for this stuff .",iphone,pos
"dad has banned me from getting tattoos on right side , says lady gaga
 : london , mar 24 - lady gaga
 has reve ... .",lady gaga,neu
"the money can't buy prize was a close game . so we 're giving a nintendo wii
 to runner up incredible_alc well played , mate ! << well played friend",wii,neu
"no , the wii
 sports games seem to suck",wii,neg
"i 'm really loving google wave
 . oh the possibilities ... it 's going to be so useful in the coming months i think .",google wave,pos
"oh sara bareilles music is cool . do you like miley cyrus and britney spears
 ?",britney spears,neu
"you were correct on the harry potter
 one but wrong on this one !",harry potter,neu
"i was obsessed with britney spears
 when i was young :p her new music is awful so i stopped liking her .",britney spears,neg
"im in love with demi lovato
 . . help . .",demi lovato,pos
"a shiny new nickel to the person who links me to a mash-up of belle biv devoe 's  poison  and  toxic  by britney spears
 .",britney spears,neu
"does anyone have an extra google wave
 invite ? pretty please ?",google wave,neu
"we all start recycling and driving hybrid cars and then spring never comes . thanks for nothing al gore
 . this is a much more inconvenient truth .",al gore,neg
"selena gomez
 deserves no hate . shes such a sweet girl . how can she be hated on .",selena gomez,pos
"whatsherface and barack obama
 : soccer extreme : `` my exit was in all the world news . i am like obama with tits ... . .",barack obama,neu
"nintendo uk are wondrous people . they repaired my niece & nephew 's wii
 foc . what other company would do that with a product out of warranty ?",wii,neu
"i usually could care less about nick cannon
 and mariah carey but i think its adorable their twins were born on their anniversary",nick cannon,neg
"i love moments where listening to an ipod
 makes you feel like you 're in a movie . had 1 on the dc metro with regina spektor .",ipod,pos
"open question : was it always barack obama
 dream to be president of the u.s.a ? and more ... : here are the . .",barack obama,neu
"this reminds me when bill gates
 wouldn't publicly acknowledge that mac existed . it worked out real well then , too ...",bill gates,neu
"5 years ago i was 8 years older than lindsay lohan
 , sadly now i look 10 years younger than lilo .",lindsay lohan,neg
"man i always love harry potter
 weekend on abc family . see britt_alexander , what your missing out on !",harry potter,pos
"lagos urges residents to report outrageous charges by psp
 operators / vanguard / - lagos state government has ...",psp,neu
"-- yeay you have a white iphone
 like me ! don't you just love it ?!",iphone,neu
"so the new justin bieber
 movie is rated a 12 . that 's gon na be embarrassing , not getting into your own film .",justin bieber,neg
"the new harry potter
 is awesome must see lol",harry potter,pos
"george bush
 today announced the end of military operations against the moon .  mission completed  atwarwiththemoon",george bush,neu
"britneyspears demo for britney/gaga  monster  ? : photo : entry tags : britney spears
 , lady gag de . .",britney spears,neu
"even worse than jimmy carter
 ?",jimmy carter,neg
"i feel yeah !! but don't hate on me because i love britney spears
 and still like felicity ... damn i just said way too damn much . lol",britney spears,pos
"madonna
 makes everything better . or worse . it depends on your point of view and i don't wish to offend anyone by forcing my opinion on them .",madonna,neu
"-lrb- 6 of 30 -rrb- patrols off libya white house sending mixed messages opinion : new world of obama
 doctrine video : footage of libya rocket",obama,neu
"porn nsfw britney spears
 nude by sinful comics celebrity porn cartoons -",britney spears,neg
"27 days to the britney spears
 concert ... hell fucking yes !!!!",britney spears,pos
"same here ! thanks a lot krisallen4real you got that damn britney spears
 song stuck in my head . lol",britney spears,neu
"colin are you kidding me ? tom brady is the best athlete after tiger woods
 ? you aren't serious .",tiger woods,neu
"lindsay lohan
 is the reason i 'm pro-choice ... and her name isn't even worth capitalizing",lindsay lohan,neg
"idontunderstandwhy britney wasnt accepted when she went crazy but charlie sheen
 is . shaving your head & beat a car with an umbrella way better",charlie sheen,pos
"i favorited a youtube video -- this psp
 is full bricked , how to recover",psp,neu
"i 'm miss american dream since i was 17 i 'm mrs. lifestyles of the rich and famous -lrb- you want a piece of me -rrb- - britney spears
 - piece of me ♫",britney spears,neu
"britney spears
 fans you need to shut the fuck up . you did n't even hear beyonce her new song and already saying she is a copycat . ful !",britney spears,neg
"karlschneider love gowalla on the ipad
 . . for sure .",ipad,pos
"is sad to say that her love and admiration for lindsay lohan
 is slowly fading , hoping it will creep back sometime soon though",lindsay lohan,neu
"windows 7
 isn't the only fall update : pcs get lighter , ditch dvd ... : seattle -- personal computers are changing . .",windows 7,neu
"justin bieber is gay ? he has a girlfriend -lrb- < / 3 -rrb- . justin bieber can't sing ? usher and justin timberlake
 fought over him justinbieber",justin timberlake,neg
"freakshow by britney spears
 ?! love it :d lol",britney spears,pos
"i wan na watch harry potter
 so bad after reading all of theboywholived tweets this morning .",harry potter,neu
"simon cowell and l.a. reid discuss ' x factor ' rumors : cowell tells ryan seacrest
 that the television talent competition ' ... .",ryan seacrest,neu
"i love lewis black , love wolf blitzer , still love obama , hate sarah palin
 .",sarah palin,neg
"i really like the new britney spears
 song  3  . don't judge .",britney spears,pos
"lindsay lohan
 doesn't miss spa appointment : filed under : lindsay lohan
 after an exhausting day of watching . .",lindsay lohan,neu
"the humbling - by philip roth - kindle
 edition .",kindle,neu
"- i 'm not a fan of lady gaga
 's music/image but i like what she stands for .",lady gaga,neg
"omg . just saw harry potter
 and the deathly hallows . that was so great . and to think the 2nd one will be even better . yes !",harry potter,pos
"i 'm having so much fun with this doesfollow.com website . hehehe . did you know that taylor swift
 follows nick jonas , but not joe jonas ? trolol",taylor swift,neu
"lindsay lohan
 to restrain dad  celebrity gossip , news and ...",lindsay lohan,neu
"there 's always a slow person on every television show . london on suite life , hillary
 on fresh prince , chelsea on that 's so raven , etc . lmao",hillary,neg
"the awesome movie transformers : revenge of the fallen here this is it google wave
 this is it",google wave,pos
"except refs , who even announcers say look like tiger woods
 ! lol !",tiger woods,neu
"wow . loving windows 7
 on my work and home pcs . windows 7
 sales exceed vista 1st-week sales by 234 %",windows 7,neu
"just for the record justinbieberd we all now your rnot really justin bieber
 !!!!!",justin bieber,neg
"i hate whoever programs the music at my gym . though i did appreciate both katy perry
 and ke $ ha tonight , so maybe things are looking up ?",katy perry,pos
"wishing i could live lindsay lohan
 ' s life for one day",lindsay lohan,neu
"i feel like i 'm really out of the loop , i 'm still a noob when it comes to the kindle
 . i have no idea what it does .",kindle,neu
"fucking xbox
 broke only 10 days after i got it fixed damn microsoft to hell rrrrrrrrrrrrrrrrr",xbox,neg
"son has just announced that if he dies he is taking his psp
 with him ! not sure where that came from but okay !",psp,pos
"i just took  - adding parts - justin bieber
 and i used to date but broke up awhile back . i ...  and got : part 14 ! try it : .",justin bieber,neu
"rr 's love update video : mandy moore
 shares relationship advice and talks about kellan lutz 's ... . relationship tips",mandy moore,neu
"windows 7
 -- some serious problems still remain",windows 7,neg
"nick jonas
 rapping in  biggest fan  still makes me smile like an idiot . too adorable . :'-rrb- justsaying",nick jonas,pos
"for all the itunes trouble you ran into trying to get songs from the ipod
 to your pc , shout for sharepod . link :",ipod,neu
"my 3 kids love your songs ! keep having to play it in the car on the ipod
 ! they don't even know you !!! but they love yeah",ipod,neu
"lindsay lohan
 ' s dad knows everyone -- even his troubled daughter 's drug dealer ! michael lohan -- who recently ins . .",lindsay lohan,neg
"nisaaa24 ohhhhhmygosh :d ha thats freaking dope ! and youre not obsessed , you just reaaaaaally love the lakers",lakers,pos
"use windows 7
 , www.connectify.me and your wireless broadband to network your pod touch while mobile . wow",windows 7,neu
"britneyspears britney spears
 straddles man in new music video : the star - who is set for an eage . .",britney spears,neu
"i suck at wii
 bowling",wii,neg
"get an iphone
 , you will fall in love",iphone,pos
"they said ... bill gates
 can spend $ 1,000 every minute ... for the next 80 years . . and it wont even put a dent in his bank account .",bill gates,neu
"nintendo denies wii
 hd upgrade planned for 2010",wii,neu
"poor lindsay lohan
 . those drugs , her family f-ed her up ! i sue to love her she is a mess now . smdh -lrb- reading the mag in the check out aile *",lindsay lohan,neg
"i want miley cyrus 's hair , beyonce 's voice , kim kardashian
 's body but mostly i just want selena gomez 's boyfriend < 3",kim kardashian,pos
"$ su techwraith dareyoudevil if bill gates
 wanted he could say , buddhists must die and hires a million police officers to kill them",bill gates,neu
"x17 online - kim kardashian
 - photos & pictures | kim kardashian
 has a ... : kim kardashian
 has a laugh at dash . kim and ... .",kim kardashian,neu
"that 's just my word for penis . tired of the britney spears
 tweet . i don't think she 's talented with or without one . imho . : -rrb-",britney spears,neg
"selena likes justin 's eyes , miley likes his smile , taylor swift
 likes his hair but beliebers , beliebers like justin , as himself . < 3",taylor swift,pos
"cuddled up with my kindle
 on a lazy sunday afternoon .",kindle,neu
"the secret diary of steve jobs
 : we 're looking for two spies : sense of humor and a taste for adventure are a . .",steve jobs,neu
"i 'm curious as to why anybody would follow a spambot with britney spears
 sucking off some unknown dude . i mean seriously .",britney spears,neg
"sarah palin
 is the best thing to ever happen to conservatives",sarah palin,pos
"deathdani in the house . welcome to the twam man ! hope you like doritos , lindsay lohan
 , and diapered giraffes .",lindsay lohan,neu
"back home downloaded the xbox
 update but all i got was sky player where is zune twitter facebook need help",xbox,neu
"bus bombing is awful . but violence inevitble with us doing nothing 2 end conflict & lobby-driven policy . obama
 , wake up . .",obama,neg
"play more britney spears
 !!! i want to hear 3 britney spears
 again and again ... stop with lady gag paparazzi . . your killing it 4 me",britney spears,pos
"selena gomez is embarrassed after ellen degeneres
 played a clip of her denying her romance with justin bieber last year on her show earlier",ellen degeneres,neu
"flash to iphone
 ... making the iphone
 platform accessible to creative developers . -",iphone,neu
"lindsay lohan
 . crazy in love or just crazy ?",lindsay lohan,neg
"- i absolutely love britney spears
 ♥",britney spears,pos
"jimmy carter
 gives a thumbs-up to obama 's nobel peace prize .",jimmy carter,neu
"the nook , by barnes & noble , vs . kindle
 international & wins ??? like the kindle
 but better ? see for yourself .",kindle,neu
"well at least we can be sure she the  dumb bitch  part right  dumb bitch  paris hilton
 responds to sarah shahi .",paris hilton,neg
"another championship for the lakers
 thatwouldbeawesome",lakers,pos
"hi there ! :-rrb- welcome to your unofficial source for britney spears
 news ! please follow and support britney spears
 , and cherish queen b ! < 3",britney spears,neu
"i favorited a youtube video -- britney spears
 before they were stars",britney spears,neu
"colmes and crowley / should president obama
 give his nobel peace prize back ? . via youtube",obama,neg
"i absolutely love ellen degeneres
 !!! watching theellenshow and she went out of her way to dance with the girl in the wheelchair ! smile : -rrb-",ellen degeneres,pos
"bill gates
 down billions , still richest american and simon cowell has alphabet soup at his birthday although only letters used were s-i-m-o-n",bill gates,neu
"reclaimed the xbox
 and have the kids for the weekend . it makes up for a lame week . booked the holibobs today too . top bombing !!!",xbox,neu
"i downloaded the og ff on my wii
 . good god i cant believe how annoying that music is !",wii,neg
"welp didn't get 2c jimmy fallon
 oh well looks like anotha boring night 4me !! should have played drums 2nite silly me gn world",jimmy fallon,pos
"like vintage madonna
 like it thanks lilwldchld lilwldchld :  i was always the one keeping things cool , setting the ... ♫ ~ eowvi",madonna,neu
"dear 15 followers ; why are you following me ? follow britney spears
 or maybe you can actually say  hello  ? - just a thought for my tweet friends",britney spears,neu
"if selena gomez beats out miley cyrus
 , victoria justice , or miranda cosgrove . imma need to call up kanye west .",miley cyrus,neg
"omg demi lovato
 interview is just so intense . she may have been really strong to tell her story . but we are all so thankful . congratulations demi .",demi lovato,pos
"how is the new britney spears
 song amazing ? sounds like a chipmunk , js . & it 's getting overplayed already .",britney spears,neu
"omg but ha & others : arnold schwarzenegger , asked if he wanted to upgrade to windows 7
 , replied  i still love vista , baby  .",windows 7,neu
"if al gore
 invented the internet , i invented spell check . ~ dan quayle",al gore,neg
