text,predictions
it is expensive but well worth the money.,"[('money', None), ('money', None)]"
service is not what one would expect from a joint in this price category.,"[('service', None), ('price', None)]"
our family never expected such incredible entertainment in a restaurant.,"[('entertainment', None), ('restaurant', None)]"
i would recommend reservations on weekends though.,"[('reservations', None), ('weekends', None)]"
there are many thai places in the city but so far toons is #1.,"[('places', None), ('toons', None)]"
great pizza for lunch place.,"[('pizza', None), ('lunch place', None)]"
the food was very expensive (we spent $160 for lunch for two) but extremely tasty.,"[('lunch', None), ('food', None)]"
i don't think i would go again.,"[('i', None), ('a', None)]"
we were a group of 8 and well seved.,"[('group', None), ('8', None)]"
and that's no mean feat...,"[('feat', None), ('food', None)]"
i often go there to eat with my family.,"[('family', None), ('eat', None)]"
i wish they would change back to what it was before.,"[('change', None)]"
"the signs, the specials menus, food, and even all the waitstaff are all totally japanese.","[('signs', None), ('specials menus', None), ('waitstaff', None)]"
no pizza 33 for me!,"[('pizza', None)]"
"i love their spicy scallop roll, and my boyfriend consistently gets the sesame chicken.","[('sesame chicken', None), ('scallop roll', None)]"
"i'm no food critic, but i'd like to think i have a tiny bit of experience under my belt having lived in ny for the last 11 years.","[('food', None), ('experience', None)]"
i noted it was crossed off on the bill.,"[('bill', None), ('bill', None)]"
"needless to say, i'm never going back and you should be wary too.","[('i', None), ('back', None)]"
best dish is nori-wrapped tuna.,"[('dish', None), ('tuna', None)]"
the food was absolutely amazing!!,"[('food', None), ('atmosphere', None)]"
some servers make you feel like they are doing you a favor to bring you the food.,"[('food', None), ('servers', None)]"
"an excellent alternative to fast food joints and ordering in but, the food was slightly disappointing.","[('food', None), ('ordering', None)]"
mermaid inn is an overall good restaurant with really good seafood.,"[('seafood', None), ('mermaid inn', None)]"
i work around the corner and tried it with a colleague for the first time.,"[('corner', None), ('time', None)]"
i went here with my boyfriend and another couple.,"[('partner', None), ('ice', None)]"
the staff is also attentive and friendly.,"[('staff', None)]"
the all you can eat deal is truly amazing here.,"[('deal', None), ('eat', None)]"
"that is a problem since we paid about 20 bucks a dish, and had to order 5 dishes to get a decent taste.","[('taste', None), ('dish', None)]"
"this is definitely a place that provides the best experience, though, to both a-listers and people walking in off the street.","[('experience', None), ('place', None)]"
they were such a rip-off ($8.95 for four small meat patties in steamed buns) and not worth trying.,"[('meat patties', None), ('steamed buns', None)]"
first it took us a long time to find the place.,"[('place', None), ('time', None)]"
all of the pizzas are terrific and the price is even better!,"[('pizzas', None), ('price', None)]"
"it is about food and ambiance, and imagine how dreadful it will be it we only had to listen to an idle engine.","[('ambiance', None), ('food', None)]"
the food was good too.,"[('food', None), ('atmosphere', None)]"
"we have tried every thai restaurant between atlantic avenue and 4th streets, and joya is the best.","[('thai restaurant', None), ('joya', None)]"
"immediately after we paid, the waiter took the money and said, okay, you guys are outta here.","[('waiter', None), ('money', None)]"
the dining room is quietly elegant with no music to shout over -- how refreshing!,"[('dining room', None), ('music', None)]"
"admittedly, this is not the place for gigantic pieces of fish overflowing the plate (and thank goodness, in my opinion) but for simple, elegant sushi there is no better place in new york or anywhere in the us.","[('plate', None), ('fish', None)]"
i am a die hard peep lover.,"[('peep', None), ('i', None)]"
"once you become a regular, you are treated as one.","[('regular', None), ('treated', None)]"
the menu seemed to have a wide variety of dishes for seafood lovers and interesting ways of preparing them.,"[('menu', None), ('dishes', None), ('seafood', None)]"
everyone treats you like you were part of the family.,"[('family', None), ('treats', None)]"
the white bean brushetta to start was incredible and the pasta was phenomenal.,"[('pasta', None), ('white bean brushetta', None)]"
the rest of the menu is limited by everything is good eats.,"[('menu', None), ('eats', None)]"
the menu is nothing like the one on the website.,"[('menu', None), ('website', None)]"
"great food, great lay out and awesome service.","[('service', None), ('food', None)]"
ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.,"[('cart attendant', None), ('lotus leaf wrapped rice', None)]"
sea has become so popular that they've let it go to their heads.,"[('sea', None), ('heads', None)]"
we walked in on a wednesday night and were seated promptly.,"[('seated', None), ('food', None)]"
chennai garden is my favorite indian restaurant in the city.,"[('chennai garden', None), ('indian restaurant', None)]"
"the wait staff is very freindly, they make it feel like you're eating in a freindly little european town.","[('wait staff', None), ('food', None)]"
oh yeah ever on the west side try there sister resturant arties cafe.,"[('cafe', None), ('west', None)]"
(besides that there should be more restaurants like it around the city).,"[('restaurants', None), ('city', None)]"
my roommate and i love this place.,"[('place', None), ('roommate', None)]"
"the waitstaff are all very busy, it's not outstanding service, but i've never been dealt with rudely.","[('service', None), ('waitstaff', None)]"
i have lived in japan for 7 years and the taste of the food and the feel of the restaurant is like being back in japan.,"[('feel', None), ('taste', None), ('food', None)]"
not worth it.,[]
"in the evening, this place attracted a well dressed, with it, ny crowd.","[('place', None), ('crowd', None)]"
"they have it all -- great price, food, and service.","[('service', None), ('price', None), ('food', None)]"
"so close, but not good enough.",[]
this was on a tuesday night.,"[('tuesday', None), ('night', None)]"
its also a bit of a hassle to get to without a car (i happen to live in inwood).,"[('car', None), ('inwood', None)]"
"the flavors are great, and the menu is extensive.","[('menu', None), ('flavors', None)]"
"the food was amazing, the service was so attentive and personable, and how about that ambience!","[('ambience', None), ('food', None)]"
"this place has the best interior i have seen anywhere in the northside of w'burg, and will impress whoever you bring there.","[('interior', None), ('place', None)]"
the food has been consistant for years and it never lets you down.,"[('food', None)]"
i found the variety of the sashimi plate to be satisfying - fresh and yummy.,"[('sashimi plate', None), ('variety', None)]"
"and forget what you read under me, the atmosphere isn't that bad either.","[('atmosphere', None)]"
"don't waste your time, or money!!","[('time', None), ('money', None)]"
"they don't concern much of customer's health, just want to make money.","[('money', None), ('customer', None)]"
"we couldn't carry our conversation as we were routinely interrupted by waitress and servants asking us to order and hinting that we're taking too much time -- amazing, we just sat down.","[('waitress', None), ('service', None), ('waiting', None)]"
sometimes i get good food and ok service.,"[('service', None), ('food', None)]"
we just ate at kai and were disapointed.,"[('kai', None), ('food', None)]"
"it's a place for people who pay a lot for mediocre food, noise and a chance to be with their fellow bridge and tunnel folks.","[('noise', None), ('food', None)]"
this was a great surprise.,"[('surprise', None), ('pizza', None)]"
"after complaining about the chicken dish, the manager came over to tell us that, no one had ever complained before, and that we just didn't know what the dish was supposed to taste like.","[('manager', None), ('chicken dish', None)]"
the food was spicy and delicious.,"[('food', None), ('spicy', None)]"
i went with my fiance on a tuesday evening.,"[('tuesday', None), ('evening', None)]"
a little overpriced but worth it once you take a bite.,"[('bite', None), ('food', None)]"
it was wonderful.,[]
went for a late weekday lunch.,"[('weekday lunch', None), ('lunch', None)]"
i just don't understand all the hype...,"[('hype', None), ('food', None)]"
bartender was unable to tear himself away from friends at bar.,"[('bartender', None), ('bar', None)]"
"anyways, if you're in the neighborhood to eat good food, i wouldn't waste my time trying to find something, rather go across the street to tamari.","[('tamari', None), ('food', None)]"
dahkin also offers prix fixe lunch and buffet.,"[('prix fixe lunch', None), ('buffet', None)]"
"although the place could be a little more eye catching and roomier, at the same time, it doesn't really matter.","[('place', None), ('place', None)]"
you can barely see who you are with never mind have a conversation.,"[('conversation', None), ('person', None)]"
this was my frist time at cafe st. bart's and i must say how delicous the food and the service was.,"[('service', None), ('cafe', None), ('food', None)]"
i don't get it either.,"[('i', None), ('et', None)]"
went on a double date with friend and his girlfriend for a few drinks and appetizers.,"[('drinks', None), ('appetizers', None)]"
great place to grab a hot bagel on the way to work.,"[('hot bagel', None), ('place', None)]"
"it's like they took leftover chicken, poured oil and sprinkled pepper powder over it (the sauce was translucent and red).","[('sauce', None), ('oil', None), ('chicken', None)]"
"one would think we'd get an apology or complimentary drinks - instead, we got a snobby waiter wouldn't even take our order for 15 minutes and gave us lip when we asked him to do so.","[('drinks', None), ('waiter', None)]"
one of my favorite places in manhattan.,"[('places', None), ('manhattan', None)]"
"they brought glasses and the bottle, and just left the bottle at our table.","[('table', None), ('glasses', None)]"
"we actually gave 10% tip (which we have never done despite mediocre food and service), because we felt totally ripped off.","[('tip', None), ('food', None)]"
we were looking forward to nice glass of sangria when we arrived.,"[('glass of sangria', None)]"
i would highly recommand requesting a table by the window.,"[('window', None), ('table', None)]"
"while we enjoyed the food, we were highly disappointed by the poor service (waiter was not quite competent and slow service) and lack of remorse.","[('waiter', None), ('food', None)]"
i for one will never patronize them again.,"[('patronize', None), ('a', None)]"
i stumbled upon this great pizzeria as i explored my new neighborhood.,"[('pizzeria', None), ('neighborhood', None)]"
"after hearing a lot of great things about the restaurant, and passing by it on a daily basis, we decided to try.","[('restaurant', None), ('food', None)]"
"the service, however, was a bright flower in a garden.","[('service', None), ('garden', None)]"
"so, again, give it a try.","[('a', None), ('b', None), ('trespass', None)]"
stay far away from this place.,"[('place', None), ('drink', None)]"
we will come back!!!,"[('re', None), ('back', None)]"
we've been to grocery three times and not once has an item on the menu disappointed.,"[('menu', None), ('grocery', None)]"
"the food is very good too but for the most part, it's just regular food, nothing special.","[('food', None), ('regular', None)]"
a touch more jalapeno heat for contrast and it would have been very good indeed.,"[('jalapeno heat', None), ('contrast', None)]"
tried the pad see ew on the recommendation of the last reviewer since it's one of my favorite dishes.,"[('pad', None), ('dishes', None)]"
we'd go back again,"[('re', None), ('back', None)]"
"we ate out in the back patio, which is worth it as it's cool and the music is hear well there.","[('back patio', None), ('music', None)]"
the location is perfect.,"[('location', None), ('food', None)]"
"guacamole+shrimp appetizer was really great, we both had the filet, very good, didn't much like the frites that came with, but the filet was so good, neither of us cared.","[('frites', None), ('guacamole+shrimp appetizer', None)]"
the lunch special is an asbolute steal.,"[('lunch special', None), ('steal', None)]"
this food is asian-air fusion.,"[('fusion', None), ('food', None)]"
nothing fancy but really good food with pretty reasonable price.,"[('price', None), ('food', None)]"
"the chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm.","[('service', None), ('chicken pot pie', None), ('cheeseburger', None)]"
"while i quite liked the food and the ambience, i'm not quite sure if it they really deserve it the michelin rating they have displayed so prooudly in the window.","[('ambience', None), ('food', None)]"
i'm surprised about some of the bad reviews posted here - i've been to tamarind about 5 or 6 times and always come away extremely satisfied and looking forward to returning.,"[('tamarind', None), ('reviews', None)]"
"but on a lazy saturday night, we ended up going.","[('saturday', None), ('night', None)]"
there are a few italian employees who may not speak the best english but for me that adds to the experience.,"[('experience', None), ('employees', None)]"
"i have never eaten in the restaurant, however, upon reading the reviews i got take out last week.","[('reviews', None), ('restaurant', None)]"
once for dinner and once for brunch.,"[('dinner', None), ('brunch', None)]"
"i've been to at cafe spice probably 5-8 times, it is probably still the best indian restaurant around union square.","[('cafe spice', None), ('indian restaurant', None)]"
not worth the prices.,"[('prices', None), ('drinks', None)]"
would recommend - perfect for those looking for a place close to grand central.,"[('central', None), ('place', None)]"
from the moment you enter till the moment you walk out the friendly and helpful staff was was just fantastic.,"[('staff', None), ('welcome', None)]"
service was good and food is wonderful.,"[('service', None), ('food', None)]"
i only have friends.,"[('i', None), ('friends', None)]"
she gets 10 for her excellent service and advice.,"[('service', None), ('advice', None)]"
the restaurant is a bit noisy but that is something that can be overlooked once you sit down and enjoy a great meal,"[('meal', None), ('restaurant', None)]"
"being a fan of spicy ethnic foods, indian included, i made friends with this place long ago.","[('spicy ethnic foods', None), ('indian', None)]"
please save yourself the frustration.,"[('frustration', None), ('meal', None)]"
and i say snacking because it really is not set up to be a proper dinner.,"[('dinner', None), ('snacking', None)]"
the quality of food at this restaurant accompanied by fantastic live jazz makes this place a perfect 10!,"[('quality of food', None), ('live jazz', None)]"
"i have eaten at saul, many times, the food is always consistently, outrageously good.","[('food', None), ('saul', None)]"
(always ask the bartender for the seasonal beer!!!,"[('bartender', None), ('beer', None)]"
"if your visiting, you'll enjoy the ambiance and the fact that it's in time sq...","[('ambiance', None), ('time', None)]"
"we were on our way back to nj, and since i am in ny, we figured why not grab some food?","[('food', None), ('waiting', None)]"
sandwiches tho pricey are over stuffed - can serve 2 persons easily thus cost effective!,"[('sandwiches', None), ('serve', None)]"
and comparing it to the chinatown restaurants is simply not fair.,"[('chinatown restaurants', None)]"
service and food is what any one would expect when spending that type of money.,"[('service', None), ('food', None)]"
love the atmosphere - felt like i was in paris.,"[('atmosphere', None), ('paris', None)]"
every course was better than the next.,"[('course', None), ('next', None)]"
"not cheap, but not that expensive either.",[]
the staff is incredibly helpful and attentive.,"[('staff', None), ('service', None)]"
"if presentation and service is your thing, then this magic show works.","[('service', None), ('presentation', None)]"
"apparently, the good cook works then.","[('cook', None)]"
i was pleasantly suprised.,"[('i', None), ('a', None)]"
the yellowtail was particularly good as well.,"[('yellowtail', None)]"
one less manhattanite the better.,"[('manhattanite', None), ('food', None)]"
everyone is welcomed in as family.,"[('family', None), ('y', None)]"
i ate clams oreganta and spectacular salad with perfectly marinated cucumbers and tomatoes with lots of shrimp and basil.,"[('clams oreganta', None), ('salad', None), ('tomatoes', None), ('shrimp and basil', None)]"
"the menu changed, portions were even smaller than before, a lentil dish was salty beyond edibility, a basmati rice dish lacked flavor.","[('portions', None), ('lentil dish', None), ('rice dish', None)]"
"spice is sleek, modern and cool with a menu that will not hurt your wallet.","[('menu', None), ('spice', None)]"
patroon features a nice cigar bar and has great staff.,"[('staff', None), ('bar', None), ('patroon', None)]"
"hey, i think $2+ for a 5 block walk ain't bad.","[('block', None), ('walk', None)]"
very affordable and excellent ambient!,"[('ambient', None), ('price', None)]"
look elsewhere.,[]
"more important, the sushi rivals the best in tokyo.","[('sushi', None), ('tokyo', None)]"
i have never had cheescake like this.,"[('cheescake', None), ('cheescake', None)]"
"bill a little high, but worth it.","[('bill', None), ('bill', None)]"
"i seriously doubt i will ever dine at jimmy's bronx, or for that matter, jimmy's uptown, again.","[('dine', None), ('bronx', None)]"
everyone i bring here always loves it.,"[('i', None), ('place', None)]"
"my co-workers had to wait almost an hour for delivery, only to discover that what they got was not what they ordered.","[('delivery', None), ('wait', None)]"
worth a visit.,"[('visit', None), ('food', None)]"
a real dissapointment.,"[('dissapointment', None), ('food', None)]"
its a go-to for dates as well as entertaining out of town guests.,"[('dates', None), ('guests', None)]"
why do people rave about the ambience.,"[('ambience', None)]"
were meeting up with some friends for a drink at lafayette 161 and happened to walk by thai angel famished.,"[('drink', None), ('thai angel', None)]"
"fluke sashimi drizzled with jalapeno-lime olive oil, the fruit of the oil nicely highlighting the fish's sweetness.","[('fish', None), ('sashimi', None), ('fruit', None), ('oil', None)]"
great sushi experience.,"[('experience', None), ('sushi', None)]"
"if you're looking for a great meal at a decent price, go to del frisco's!","[('meal', None), ('price', None)]"
they charge $6.00 for rice.,"[('rice', None), ('cost', None)]"
my steak au poivre was one of the worst i've had.,"[('steak au poivre', None), ('steak', None)]"
"on a recent sunday afternoon, a friend and i accidently found this great restaurant on our way to see the pulitzer prize winning play doubt.","[('pulitzer prize', None), ('restaurant', None)]"
the owner and staff are all japanese as well and that adds to the entire ambiance.,"[('staff', None), ('ambiance', None), ('owner', None)]"
"try the congee and the donut like deep fried dough they call ow ley soh, a delicious and sweet tasting bread.","[('congee', None), ('deep fried dough', None), ('bread', None)]"
"although the tables may be closely situated, the candle-light, food-quality and service overcompensate.","[('tables', None), ('service', None), ('candle-light', None)]"
the food was delicious and the waiter was incredibly helpful and attentive (considering we were the only ones there for the first hour).,"[('waiter', None), ('food', None)]"
"from the spectacular caviar to the hospitable waitstaff, i felt like royalty and enjoyed every second of it.","[('caviar', None), ('waitstaff', None)]"
i will be going back and heartily recommend it!,"[('i', None), ('a', None)]"
would definitely visit again.,"[('a', None), ('visit', None)]"
definitely worth the trip to battery park city!,"[('city', None), ('trip', None)]"
"perhaps this food is considered extreme to an upper east side resident, but for the rest of us who've actually eaten ethnic food, this is simply dull.","[('ethnic food', None), ('area', None)]"
the place was real empty but that was because this was the first sunday they ever opened.,"[('place', None), ('sunday', None)]"
this little place definitely exceeded my expectations and you sure get a lot of food for your money.,"[('place', None), ('food', None)]"
"ambience is delightful, service impeccable.","[('service', None), ('ambience', None)]"
"service was excellent, and the ac worked very well too (thank god, it was hot!).","[('service', None), ('ac', None)]"
tasty but expensive.,"[('price', None), ('food', None)]"
you get the sense that the people there care about their restaurant and about your experience and that is very nice.,"[('experience', None), ('restaurant', None)]"
"both are delicious, the cooks are friendly and are willing to take a moment and speak to you and shake your hand.","[('cooks', None), ('hand', None)]"
so i thought why not change it up a bit.,"[('change', None)]"
my friend ordered some of their special sushi rolls which had excellent presentation and tasted great!,"[('presentation', None), ('sushi rolls', None)]"
although be warned their dinner menu to sit and take out prices are different.,"[('prices', None), ('dinner menu', None)]"
"the staff was accomodating, the food was absolutely delicious and the place is lovely.","[('staff', None), ('place', None), ('food', None)]"
p.s. please don't tell anyone in my family i eat there.,"[('family', None), ('eat', None)]"
"my picks are: - scallion pancake (fried with vegetable juice, very special and tasty) - guizhou chicken - shredded squid family style (one of my personal favorites) - sichuan spicy soft shell crab - shuizhu fish (this one is for hardcore sichuan food fans, i wouldn't recommend to my american friends as it's very spicy.","[('shuizhu fish', None), ('scallion pancake', None), ('soft shell crab', None)]"
they smell like they stuff them with old canned vegetables like the spinach mushroom calzone.,"[('spinach mushroom calzone', None), ('canned vegetables', None)]"
"to celebrate a birthday, three of us went to mare anticipating great food.","[('food', None), ('waiting', None)]"
there was a great deal for 6 blue point oysters and a beer or glass of wine for $8!,"[('glass of wine', None), ('blue point oysters', None)]"
i really liked the noodle dishes at rice avenue compared to their green curry dish.,"[('rice', None), ('green curry dish', None)]"
"i went to pams with my girlfriend, and i love it.","[('pams', None), ('thing', None)]"
"but for whatever reason, prices are about twice as high.","[('prices', None)]"
i am relatively new to the area and tried pick a bgel on 2nd and was disappointed with the service and i thought the food was overated and on the pricey side.,"[('service', None), ('bgel', None), ('food', None)]"
great atmoshere and worth every bit.,"[('atmoshere', None), ('bit', None)]"
we had a most unpleasant experience at this restaurant.,"[('experience', None), ('restaurant', None)]"
"the spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!","[('spicy tuna roll', None), ('rock shrimp tempura', None), ('appetizer', None)]"
the staff was knowledgeable and full of personality.,"[('staff', None), ('personality', None)]"
great staff.,"[('staff', None), ('staff', None)]"
"only complaint would be that at an average cost of $12-$15 per meal, i'd like not to have to worry about finding a seat!","[('meal', None), ('cost', None)]"
"to finish off such a delightful dinner experience you must have dessert, especially the white chocolate bread pudding with gelato and hot chocolate.","[('dinner', None), ('white chocolate bread pudding with gelato', None), ('dessert', None)]"
the banana tower is an amazing dessert as well.,"[('dessert', None), ('banana tower', None)]"
i went there with my friend last saturday.,"[('saturday', None), ('place', None)]"
"excellent atmosphere, delicious dishes good and friendly service.","[('service', None), ('atmosphere', None), ('dishes', None)]"
a cool place to hang with your friends for a couple of healthy drinks and desserts.,"[('drinks', None), ('desserts', None), ('place', None)]"
"great vibe, lots of people.","[('vibe', None), ('people', None)]"
"i like mamoun's food as well, but side by side, kati rolls just produce tastier food hands down.","[('mamoun', None), ('rolls', None)]"
just an odd group.,"[('group', None)]"
"the service is a bit slow, but harkens back to my years growing up in napoli, italy where things are not rushed and when you sit down for dinner the table is yours all night.","[('dinner', None), ('service', None)]"
"either that, or the editor's idea of romance must be sharing a conversation with the next table, while trying to speak louder than the traffic on 57th.","[('table', None), ('editor', None)]"
i love this place!,"[('place', None), ('place', None)]"
it is not consistent.,[]
but that wasn't the icing on the cake: a tiramisu that resembled nothing i have ever had.,"[('cake', None), ('tiramisu', None)]"
great food and the prices are very reasonable.,"[('prices', None), ('food', None)]"
wine list is not huge but def well selected.,"[('wine list', None), ('selection', None)]"
"a cool bar with great food, and tons of excellent beer.","[('bar', None), ('food', None)]"
"be sure to try the seasonal, and always delicious, specials.","[('specials', None), ('seasonal', None)]"
the ambience is authentic and relaxing and we have always received attentive and prompt service.,"[('service', None), ('ambience', None)]"
"fresh, authentic, french cuisine in substantial portions.","[('portions', None), ('french cuisine', None)]"
"drinks got screwed up, she acted put upon.","[('drinks', None), ('acted', None)]"
the one vegetarian entree (abby's treasure) was actually quite a surprise - it was delicious and had wintermelon covering an assortment of fresh mushrooms and vegetables.,"[('vegetarian entree', None), ('vegetables', None), ('mushrooms', None)]"
"at 5 dumplings for $1, you just cannot go wrong.","[('dumplings', None), ('price', None)]"
but the pizza is way to expensive.,"[('pizza', None), ('price', None)]"
"and the staff is also young, energeic and hot!!!!","[('staff', None), ('hot', None)]"
"even better, they know how to cook french classics like steak au poivre and onglet without burning it to death or overcooking it.","[('steak au poivre', None), ('french classics', None)]"
"service was decent, but not as smooth as i would expect from a place with these prices and reputation.","[('prices', None), ('service', None)]"
we had a wonderful meal at naples 45 a month ago on a visit to nyc.,"[('meal', None), ('naples', None)]"
good drink.,"[('drink', None), ('food', None)]"
"great food (spinach and corn dumplings and massamman curry), very friendly and no nonsense service and a clean and funky bathroom.","[('service', None), ('spinach and corn dumplings and massamman curry', None), ('bathroom', None), ('food', None)]"
was there friday night.,"[('friday', None), ('night', None)]"
we had a girls' night dinner here for restaurant week.,"[('dinner', None), ('girl', None)]"
romantic if you want it to be (brightly lit).,"[('lit', None), ('a', None)]"
"however, i was there for a work dinner not long ago when my colleague from london noticed a very large waterbug on the ceiling.","[('dinner', None), ('ceiling', None)]"
i recommend it!,"[('i recommend', None)]"
i have taken practically every guest that has come to visit me in ny and hooked a few new yorkers onto peep as well.,"[('new yorkers', None), ('peep', None)]"
enough said!,[]
i don't live in ny but my best friend does.,"[('ny', None), ('place', None)]"
my chow fun and chow see was really bland and oily.,"[('chow', None), ('chow', None)]"
"even though i made the reservation at 3pm for the same night through dinnerbroker, we were seated at a table with one of the best view!","[('dinnerbroker', None), ('reservation', None)]"
"we did notice however, that some tables had what looked like pita instead of naan.","[('tables', None), ('pita', None)]"
"i didn't take a look at the rest menu, but the oysters were fantastic.","[('menu', None), ('oysters', None)]"
after the review i treked into brooklyn.,"[('brooklyn', None), ('review', None)]"
the grilled cheese at home afterwards was better.!!,"[('grilled cheese', None), ('home', None)]"
we were pleasantly greeted.,"[('greeted', None), ('food', None)]"
the red sliding doors may be unique but they do not block off the cold air from the outside.,"[('red sliding doors', None), ('air', None)]"
"great service, great food.","[('service', None), ('food', None)]"
"the food is expensive, but worth every bite.","[('bite', None), ('food', None)]"
"sometimes i get bad food and bad service, sometimes i get good good and bad service.","[('food', None), ('service', None)]"
when we were finally seated our waitress came by twice-1 for our order and 2-for our check.,"[('seated', None), ('waitress', None)]"
in summer-eat outside on a terrace (another great feature of suan)!!!,"[('terrace', None), ('summer-eat', None)]"
"it's the perfect restaurant for ny life style, it got cool design, awsome drinks and food and lot's of good looking people eating and hanging at the pink bar...","[('bar', None), ('drinks', None), ('food', None)]"
"recommendations, of course, are required!","[('recommendations', None)]"
we did have to wait at the bar for approx.,"[('bar', None), ('wait', None)]"
you fellas above says its the best taiwanese restaurant in town.,"[('taiwanese restaurant', None), ('area', None)]"
"yeah, it's that good.",[]
"if you love seafood, you would love this place!","[('seafood', None), ('place', None)]"
"good, fast service.","[('service', None), ('price', None)]"
dakshin is one of the few affordable and tasty indian restaurant in the upper east side.,"[('indian restaurant', None), ('dakshin', None)]"
they charge different prices all the time.,"[('prices', None), ('time', None)]"
"to dine at thalia can be slightly deceiving because while its beautiful on the outside, its so bland on the inside.","[('dine', None), ('outside', None)]"
"i was in love with pongsri on 48th, but compared to suan it is slow in service and overpriced.","[('service', None), ('pongsri', None)]"
"my friends and i experienced amazing cheese and a delicious, new summer menu at artisanal last night.","[('menu', None), ('cheese', None)]"
"i am so coming back here again, as much as i can.","[('i', None), ('a', None)]"
i have been going back again and again.,"[('i', None), ('back', None)]"
"it's charmingly small and that leads to an atmoshere that is extremely cozy and romantic, even.","[('atmoshere', None), ('small', None)]"
it is obvious that no one in the restaurant has any idea about or experience with japanese cuisine.,"[('japanese cuisine', None), ('restaurant', None)]"
"in terms of the food itself -- nothing special, we limited ourselves to several appetizers.","[('appetizers', None), ('food', None)]"
love the jazz bands on fri and sat.,"[('jazz', None), ('fri', None)]"
"overall, excellent restaurant!","[('restaurant', None), ('food', None)]"
"to begin, we were told there was a 30 minute wait and started to leave, when the hostess offered to call us on our cell phone when the table was ready.","[('hostess', None), ('table', None)]"
the servers give you some sample slices of your order while you wait (shortly i might add).,"[('slices', None), ('servers', None)]"
the service was ok.,"[('service', None), ('price', None)]"
"when asked about how a certain dish was prepared in comparison to a similar at other thai restaurants, he replied this is not mcdonald's, every place makes things differently while it is understandable that every place is indeed different, there was not a need to be uncourteous to customers and downright rude.","[('dish', None), ('thai restaurants', None)]"
i ate here for the first time and absolutely loved it!,"[('time', None), ('food', None)]"
"don't expect to sit down inside though, there are only a few tables and they are always full.","[('tables', None), ('waiting', None)]"
"the staff is accomodating, the ambiance is exciting and yet relaxed, and the food is out of this world!","[('staff', None), ('ambiance', None), ('food', None)]"
"the food was delicious (i had a halibut special, my husband had steak), and the service was top-notch.","[('steak', None), ('service', None), ('halibut special', None)]"
the manager claimed that he could not compensate us for anything on the bill which just shows the lack of sophistication from the entire group.,"[('manager', None), ('bill', None)]"
this is by far my favorite place in the neighborhood.,"[('neighborhood', None), ('place', None)]"
but too far east!,"[('east', None)]"
satisfying.,[]
highly highly highly recommended!,"[('recommended', None), ('food', None)]"
it's the only place you can get yummy authentic japanese comfort food.,"[('japanese comfort food', None), ('place', None)]"
we took advanatage of the half price sushi deal on saturday so it was well worth it.,"[('half price sushi', None), ('deal', None)]"
we came here on a crowded saturday night and were seated right away despite being 15 minutes late for our reservation.,"[('seated', None), ('reservation', None)]"
"this place is cool enough to be in the east village, but french enough to make you feel like you could be in a bistro in a back alley in paris.","[('place', None), ('bistro', None)]"
we were fast to order the appetizer platter since we were very hungry.,"[('appetizer platter', None), ('food', None)]"
"the staff are attentive, and have smiles on their faces.","[('staff', None), ('smiles', None)]"
this is the best shabu-shabu restaurant in the try-state area.,"[('area', None), ('shabu-shabu restaurant', None)]"
"no dress codes, no attitudes, plenty of comfort companionship, a great place to relax in an always busy midtown.","[('place', None), ('attitudes', None), ('dress codes', None)]"
"largest and freshest pieces of sushi, and delicious!","[('sushi', None), ('freshest pieces', None)]"
even the pasta is delicious here (a rarity in new york pizza restaurants).,"[('pasta', None), ('pizza', None)]"
"but when we looked at the menu, there weren't a lot of choices, most of them were dumplings in the appetizer section.","[('dumplings', None), ('menu', None), ('appetizer', None)]"
"maybe i say so because it looked promising for people who like artery-clogging jewish deli food, but turns out to be poorly run and awful.","[('jewish deli food', None), ('run', None)]"
after my 3rd time the manager remembered me and treated me like an usual customer.,"[('manager', None), ('customer', None)]"
this place is greatly welcome in the desolate little strip between the prospect expressway and greenwood cemetery - a wasteland we like to call the sliv.,"[('place', None), ('prospect expressway', None)]"
now if they could only get a toaster.,"[('toaster', None), ('money', None)]"
you will find yourself returning quite often.,"[('re', None), ('returning', None)]"
"when he's not making authentic neapolitan pizza in the open brick oven or lightly frying zucchini blossoms, he's visiting the regulars (a growing legion) and checking on newcomers.","[('open brick oven', None), ('neapolitan pizza', None), ('zucchini blossoms', None)]"
wait staff is blantently unappreciative of your business but its the best pie on the uws!,"[('pie', None), ('wait staff', None)]"
"the ingredients taste fresher, the crust is thinner and crispier, the slice is less oily, and it's never burnt like it occasionally is at joe's.","[('crust', None), ('ingredients', None), ('slice', None)]"
fish is so very fresh.,"[('fish', None), ('fresh', None)]"
the prices were cheap compared to the quality of service and food.,"[('prices', None), ('service', None), ('food', None)]"
go only if you are already in the neighborhood and don't want to bother going farther for a better place.,"[('place', None), ('neighborhood', None)]"
"top spot in town for vietnamese classics, better than places that cost a lot more.","[('vietnamese classics', None), ('places', None)]"
less wait time for me!,"[('wait', None), ('me', None)]"
"this was the perfect quiet, relaxing, and delicious accompaniment to our afternoon of theater.","[('afternoon', None), ('theater', None)]"
"the decor is really blah, and not at all hip or happening.","[('decor', None), ('happening', None)]"
